,Class,Comment,FNODE_,IsCentroid,Linestring,TNODE_,cross,endChainag,fix_id,geometry,id,length,length_1,mode,name,networkGrp,osm_id,osmid,penalty,road,roadId,startChain,type,width,FromTo,m1_01,m1_02,m2_01,m2_02,m3_01,m3_02,m4_01,m4_02,m5_01,m6_01,m7_01,m7_02,m7_03,m8_01,m8_02,m8_03,m9_01,m10,avrgLane,truckAadt
944,4,Assumed class,1584,0,131,1581,0,,180,"LINESTRING (89.387886 25.625698, 89.38642705800774 25.61931912493975, 89.39098900000001 25.601549)",1762,3.665822751,,water,Ghagot River,0,169841139,11684,0,,,,river,,15811584,1,1,1,1.39E-15,0,1.048244459,0,0,45,1,0,0,0,0,0,0,0,0.201104987,0,0
945,2,,1318,0,50,1316,0,,152,"LINESTRING (89.68848560000001 25.2193527, 89.69617875165351 25.18494407083923, 89.6896032045609 25.13814023078938, 89.69534926100643 25.09156316145695, 89.69666505787595 25.04526538341256, 89.66026373277154 25.01995096748112, 89.63179698499634 24.98433644078658, 89.61084234204243 24.94287183945977)",219,36.01549441,,water,Brahmaputra,0,232252697,10217,0,,,,river,,13161318,1,1,1,1.39E-15,0,1,0,0.015173945,31,1,0,0,0,0,0.000446302,0,0,0,0,0
946,,,5363,1,,1980,1,3.18,,"LINESTRING (90.3730271 22.6985552, 90.3744438 22.6979441, 90.37602480470692 22.69781327203714)",3327,15.44093449,,road,,0,,12031,15,N809,3239,2.77,0,,19805363,1.001647306,1.00201005,1.000872539,0.001177248,0.043650794,1.003274837,38,0.048482605,20,1.000421937,0.000726975,39815.46873,107443.1405,245,0.019683947,98,0,0,2.5,245
947,,,11561,1,,11564,0,1.825,,"LINESTRING (89.19058299999998 23.5424441, 89.1842497 23.5494719, 89.17747159999999 23.5528611)",21031,1.825,,road,,0,,21779,0,N712,20804,1,0,,1156111564,1.00109573,1,1,1.39E-15,0,1.000045403,37,0.013323464,23,1,0,0,0,2780,0,1112,0,0,2.5,2780
948,,,11564,1,,11568,0,1.895,,"LINESTRING (89.17747159999999 23.5528611, 89.17680490000001 23.5530278, 89.17577709999999 23.5533056, 89.1740827 23.5537222)",21034,0.365,,road,,0,,21782,0,N712,20807,1.825,0,,1156411568,1.016266084,1.011156187,1.000295679,0.000953955,0.03125,1.00037532,38,0.023316062,29,1.00025398,0.000300065,33522.1164,38236.12886,2780,0.022773398,1112,0,0,2.5,2780
949,1,,1325,0,80,2035,1,,132,"LINESTRING (90.73546726109872 23.8198413490802, 90.74052754445386 23.7990847584598, 90.7401746 23.7923318, 90.7362693 23.7812773, 90.7341369 23.7746608, 90.7313269 23.7672927, 90.73094374551434 23.76631118293054)",1488,6.337113995,,water,Meghna,0,288284425,11374,0,,,,river,,13252035,1.000564398,1.001004016,1.005856999,0.003587328,0.07093254,1.057893407,0,0.062916358,81,1.001601897,0.003964099,124728.6586,279977.4227,0,0.023503443,0,0,0,0,0
950,1,Assumed Class,1326,0,2,1614,0,,4,"LINESTRING (90.63799184202846 23.22959049227949, 90.63596470769693 23.23005619099934)",1489,0.233878623,,water,Meghna River Branch,-1,0,11375,0,,,,river,0,13261614,1.000592902,1.001004016,1.017064373,0.013455455,0.192956349,1.012917326,0,0.169874167,8,1.005163502,0.006387852,83047.11258,357896.2499,0,0.103448937,0,0,0,0,0
951,,,11568,0,,15900,0,0.233,,"LINESTRING (89.17291600000002 23.54563860000001, 89.1736382 23.5476663, 89.1736382 23.5484163, 89.1740827 23.5537222)",34926,0.922,,road,,0,,21783,0,N704,34895,0.233,0,,1156815900,1.004117684,1.00201005,1,1.39E-15,0,1.004975928,0,0,29,1,0,0,0,4045,0,2311.428571,0,0,1.75,4045
952,,,11568,0,,15985,0,21.515,,"LINESTRING (89.1740827 23.5537222, 89.17391600000001 23.5546111, 89.172916 23.5618056, 89.1729438 23.5620278, 89.17308270000001 23.5626389, 89.1747167076 23.568566444, 89.1754716 23.5713049, 89.1759438 23.5730271, 89.1760271 23.5733049, 89.17691600000001 23.5801938, 89.1775827 23.5850274, 89.17811040000001 23.5891108, 89.1793327 23.5943886, 89.1800827 23.5979163, 89.18197159999998 23.6066667, 89.18230490000001 23.60825, 89.18380520000001 23.6155278, 89.18686080000001 23.6237216, 89.1871663 23.6241382, 89.1891108 23.629166, 89.1895274 23.6308049, 89.18986080000001 23.6321938, 89.18994410000001 23.632416, 89.19055520000001 23.6348052, 89.19316629999999 23.6394163, 89.1937219 23.6403608, 89.1938608 23.6405552, 89.1981941 23.648333, 89.19838859999999 23.6492774, 89.1986386 23.6554444, 89.198583 23.6556389, 89.1979997 23.6570833, 89.1926941 23.6645278, 89.19088859999999 23.6666389, 89.19027740000001 23.6673604, 89.1866663 23.6714993, 89.18052709999999 23.6785827, 89.17905490000001 23.6802771, 89.1743882 23.6855552, 89.17269379999999 23.6874997, 89.1682216 23.6925274, 89.16508329999999 23.6961108, 89.1620556 23.6994997, 89.16077779999999 23.701, 89.1580278 23.7074444, 89.15591670000001 23.7162222, 89.15536109999999 23.7188882, 89.15466670000001 23.721666, 89.15413890000001 23.7229716, 89.15325 23.7220549, 89.1530556 23.7253049, 89.14752740000002 23.7316104, 89.146833 23.7319438, 89.13880520000001 23.7356663, 89.1349163 23.7376941, 89.13136040000001 23.7412219, 89.1289993 23.7451663, 89.1267216 23.7489997, 89.12638819999999 23.7495274, 89.1221382 23.757, 89.12177709999999 23.7576667, 89.1193882 23.7629444, 89.11930490000002 23.7631944, 89.11844379999999 23.7656667, 89.11555559999999 23.7738327, 89.1128056 23.782416, 89.1125278 23.783833, 89.11211109999999 23.7859997, 89.11111109999999 23.7912497, 89.10963890000001 23.7989719, 89.1094444 23.8001111, 89.10775 23.8089444, 89.10675000000001 23.8143056, 89.10664408875 23.81491979375, 89.1066111 23.8151111, 89.10605560000001 23.8180271, 89.10444440000001 23.8266938, 89.1035278 23.8315271, 89.10275 23.835583, 89.0987774 23.8436108, 89.09738859999999 23.8454997, 89.09849969999999 23.852, 89.0993886 23.8575833, 89.09797190000001 23.86025, 89.09433299999999 23.868416, 89.0927774 23.872916, 89.09127740000001 23.8770827, 89.09216629999999 23.8800827)",18844,40.3,,road,,0,,17240,0,N704,34943,21.515,0,,1156815985,1.007113526,1.012182741,1.010355741,0.009593414,0.086309524,1.066139611,0,0.082531458,79,1.005211573,0.008369918,152182.391,648383.7438,4045,0.043468456,2311.428571,0,0.017024795,1.75,4045
953,,,11579,0,,21752,0,6,,"LINESTRING (89.17091600000001 23.5325827, 89.17147159999999 23.5299438, 89.1701104 23.5254438, 89.17005682857143 23.52518784642857, 89.16961040000001 23.5230549)",21051,1,,road,,0,,21798,0,N712,20821,5.15,0,,1157921752,1.007558045,1.010131712,1.011527995,0.011555116,0.100198413,1.155534968,0,0.103626943,29,1.005401657,0.011245202,266299.6322,1253364.947,2780,0.051662213,1112,0,0,2.5,2780
954,2,,1343,0,118,1340,0,,34,"LINESTRING (89.66702267539539 23.97996662050506, 89.6668298 23.9825466)",1505,0.290915106,,water,Gumani,-1,0,11386,0,,,,river,0,13401343,1,1,1,1.39E-15,0,1.008022021,0,0,31,1,0,0,0,0,5.09E-05,0,0,0,0,0
955,,,17728,0,,17741,0,91.156,,"LINESTRING (90.79672190000001 24.2523333, 90.8021667 24.2487497, 90.8114167 24.245833, 90.8207771 24.2423052, 90.8255827 24.2386663, 90.82816600000001 24.2369163, 90.835083 24.2304716, 90.8422219 24.2243049, 90.8483052 24.2173604, 90.85444440000001 24.2102778, 90.8624444 24.2022778, 90.86852709999999 24.1977774, 90.8730271 24.1900274, 90.8738604 24.1881386, 90.8757493 24.1842219)",40575,11.412,,road,,0,,16284,0,R360,40752,91.156,0,,1772817741,1.000622415,1.001004016,1.000296277,0.000708551,0.002480159,1.000721201,0,0.001850481,35,1.000285726,0.000941124,156204.407,162104.2324,627,0.016099128,167.2,0,0,3.75,627
956,3,,1347,0,75,1349,0,,48,"LINESTRING (90.56922753574436 22.55979536648231, 90.56638604227679 22.55954105554441)",1514,0.320788578,,water,Meghna,0,0,11393,0,,,,river,0,13471349,1,1,1,1.39E-15,0,0.91693312,0,0.012583272,21,1,0,0,0,0,0,0,0,0,0,0
957,5,Not included in 53 routes,1354,0,,1355,0,,,"LINESTRING (91.00938728395531 24.37294390092201, 91.00796257024669 24.37069647437089)",1519,0.299211979,,water,Ghorautra,-1,,11399,0,,,,river,,13541355,1,1,1.000015317,2.05E-05,0.000496032,1.033654832,0,0.001110289,13,1.000008947,2.41E-05,5627.760978,5627.760978,0,0.001136481,0,0,0,0,0
958,5,Not included in 53 routes,1354,0,,1725,0,,,"LINESTRING (91.04237596788381 24.49713969605915, 91.07743130237867 24.48931690935791, 91.07374714302092 24.44257324708999, 91.05744752889272 24.42468412784704, 91.0337570426381 24.40412644893802, 91.00938728395531 24.37294390092201)",1399,26.79323447,,water,Danu,0,,11847,0,,,,river,,13541725,1,1,1,1.39E-15,0,1,0,0,13,1,0,0,0,0,0.000865548,0,0,0,0,0
959,5,Not included in 53 routes,1355,0,,1620,1,,,"LINESTRING (91.00796257024669 24.37069647437089, 90.98789602318415 24.33596753478759, 90.96047881067385 24.32652695404517, 90.97248347590934 24.29733320939086, 90.97021207022887 24.26780302088989, 90.99378253784131 24.24183529518507, 90.99172273483376 24.23800988581827, 90.9906860956828 24.23608466816226, 90.98822998944431 24.23160533059444, 90.98622044797646 24.22570050843238, 90.988006707059 24.21877726476832, 90.99492846100385 24.20818804659737, 90.99666792485022 24.2031399571052, 90.9904628132975 24.16398892989684)",1801,33.24117377,,water,Ghorautra,0,,13609,0,,,,river,,13551620,1,1,1.000015317,2.05E-05,0.000496032,0.995682292,0,0.001110289,38,1.000008947,2.41E-05,5627.760978,5627.760978,0,0.001136481,0,0,0,0,0
960,,,17741,0,,20208,0,109.958,,"LINESTRING (90.8757493 24.1842219, 90.8768882 24.1817216, 90.8808327 24.1734438, 90.8879441 24.1673049, 90.8888608 24.1665556, 90.89463859999999 24.1609444, 90.8951663 24.1603889, 90.8957497 24.1597778, 90.90049999999999 24.1545, 90.90097220000001 24.1539167, 90.90713890000001 24.1465274, 90.90774999999999 24.145583, 90.9079722 24.1452497, 90.91180559999999 24.1388608, 90.91261109999999 24.1330549, 90.9130278 24.1298604, 90.9135278 24.1265271, 90.9147778 24.121166, 90.91677709999999 24.1165, 90.9169993 24.1163056, 90.91927709999999 24.113, 90.9212216 24.1103889, 90.92383270000001 24.1071389, 90.92495662514288 24.10579935771429, 90.92586040000001 24.1047222, 90.93080490000001 24.0986663, 90.930916 24.098333, 90.93105490000001 24.0981386, 90.93508299999999 24.0937497, 90.93516629999999 24.0936663, 90.9372497 24.091833, 90.93974969999999 24.0901386, 90.94527740000001 24.0866663, 90.9506667 24.0826382, 90.95097220000001 24.0824438, 90.9531944 24.0810827, 90.9595556 24.0765827, 90.9610556 24.0754993, 90.96188890000001 24.0748327, 90.96761216417913 24.07121247761194, 90.96838819999999 24.0707216, 90.96911040000001 24.0702493, 90.97438819999999 24.0671382, 90.97738819999999 24.0653889, 90.97655490000001 24.0653889, 90.9799993 24.0623889, 90.9819438 24.0570278, 90.98286040000001 24.0553889)",40629,18.522,,road,,0,,28010,0,R360,40787,109.958,0,,1774120208,1,1,1.000296277,0.000708551,0.002480159,1.000819936,0,0.001850481,43,1.000285726,0.000941124,156204.407,162104.2324,627,0.015927011,167.2,0,0.433513633,3.75,627
